0.png,6
1.png,3
2.png,0
3.png,7
4.png,6
5.png,3
6.png,0
7.png,7
8.png,6
9.png,3
10.png,0
11.png,7
12.png,6
13.png,3
14.png,0
15.png,7
16.png,6
17.png,3
18.png,0
19.png,7
20.png,6
21.png,3
22.png,0
23.png,7
24.png,6
25.png,4
26.png,0
27.png,7
28.png,6
29.png,4
30.png,0
31.png,7
32.png,6
33.png,4
34.png,0
35.png,7
36.png,6
37.png,4
38.png,0
39.png,7
40.png,6
41.png,4
42.png,0
43.png,7
44.png,6
45.png,4
46.png,0
47.png,7
48.png,6
49.png,4
50.png,0
51.png,7
52.png,6
53.png,5
54.png,0
55.png,7
56.png,6
57.png,5
58.png,0
59.png,7
60.png,6
61.png,5
62.png,0
63.png,7
64.png,6
65.png,5
66.png,0
67.png,7
68.png,6
69.png,6
70.png,0
71.png,7
72.png,6
73.png,6
74.png,0
75.png,7
76.png,6
77.png,6
78.png,0
79.png,7
80.png,6
81.png,6
82.png,0
83.png,7
84.png,6
85.png,7
86.png,0
87.png,7
88.png,6
89.png,7
90.png,0
91.png,7
92.png,6
93.png,7
94.png,0
95.png,7
96.png,6
97.png,7
98.png,0
99.png,7
100.png,6
101.png,7
102.png,0
103.png,7
104.png,6
105.png,7
106.png,0
107.png,7
108.png,6
109.png,7
110.png,0
111.png,7
112.png,6
113.png,7
114.png,0
115.png,7
116.png,6
117.png,7
118.png,0
119.png,7
120.png,6
121.png,7
122.png,0
123.png,7
124.png,6
125.png,7
126.png,0
127.png,7
128.png,6
129.png,7
130.png,0
131.png,7
132.png,6
133.png,7
134.png,0
135.png,7
136.png,6
137.png,7
138.png,0
139.png,7
140.png,6
141.png,7
142.png,0
143.png,7
144.png,6
145.png,7
146.png,0
147.png,7
148.png,6
149.png,7
150.png,0
151.png,7
152.png,6
153.png,7
154.png,0
155.png,7
156.png,6
157.png,7
158.png,0
159.png,7
160.png,6
161.png,7
162.png,0
163.png,7
164.png,6
165.png,7
166.png,0
167.png,7
168.png,6
169.png,7
170.png,0
171.png,7
172.png,6
173.png,7
174.png,0
175.png,7
176.png,6
177.png,7
178.png,0
179.png,7
180.png,6
181.png,7
182.png,0
183.png,7
184.png,6
185.png,7
186.png,0
187.png,7
188.png,6
189.png,7
190.png,0
191.png,7
192.png,6
